Formatted Date,Temperature (C)
2006-01-01 00:00:00.000 +0100,0.577777778
2006-01-01 01:00:00.000 +0100,1.161111111
2006-01-01 02:00:00.000 +0100,1.666666667
2006-01-01 03:00:00.000 +0100,1.711111111
2006-01-01 04:00:00.000 +0100,1.183333333
2006-01-01 05:00:00.000 +0100,1.205555556
2006-01-01 06:00:00.000 +0100,2.222222222
2006-01-01 07:00:00.000 +0100,2.072222222
2006-01-01 08:00:00.000 +0100,2.2
2006-01-01 09:00:00.000 +0100,2.733333333
2006-01-01 10:00:00.000 +0100,2.788888889
2006-01-01 11:00:00.000 +0100,3.822222222
2006-01-01 12:00:00.000 +0100,4.911111111
2006-01-01 13:00:00.000 +0100,6.205555556
2006-01-01 14:00:00.000 +0100,7.438888889
2006-01-01 15:00:00.000 +0100,6.95
2006-01-01 16:00:00.000 +0100,5.972222222
2006-01-01 17:00:00.000 +0100,5.905555556
2006-01-01 18:00:00.000 +0100,4.955555556
2006-01-01 19:00:00.000 +0100,5.472222222
2006-01-01 20:00:00.000 +0100,5.972222222
2006-01-01 21:00:00.000 +0100,4.933333333
2006-01-01 22:00:00.000 +0100,5.472222222
2006-01-01 23:00:00.000 +0100,5.422222222
2006-01-02 00:00:00.000 +0100,5.422222222
2006-01-02 01:00:00.000 +0100,2.35
2006-01-02 02:00:00.000 +0100,5.422222222
2006-01-02 03:00:00.000 +0100,5.905555556
2006-01-02 04:00:00.000 +0100,5.966666667
2006-01-02 05:00:00.000 +0100,5.95
2006-01-02 06:00:00.000 +0100,5.95
2006-01-02 07:00:00.000 +0100,6.733333333
2006-01-02 08:00:00.000 +0100,5.927777778
2006-01-02 09:00:00.000 +0100,6.944444444
2006-01-02 10:00:00.000 +0100,6.944444444
2006-01-02 11:00:00.000 +0100,7.505555556
2006-01-02 12:00:00.000 +0100,6.994444444
2006-01-02 13:00:00.000 +0100,7.044444444
2006-01-02 14:00:00.000 +0100,7.016666667
2006-01-02 15:00:00.000 +0100,7.016666667
2006-01-02 16:00:00.000 +0100,6.538888889
2006-01-02 17:00:00.000 +0100,5.933333333
2006-01-02 18:00:00.000 +0100,4.866666667
2006-01-02 19:00:00.000 +0100,3.944444444
2006-01-02 20:00:00.000 +0100,2.855555556
2006-01-02 21:00:00.000 +0100,2.805555556
2006-01-02 22:00:00.000 +0100,2.311111111
2006-01-02 23:00:00.000 +0100,1.694444444
2006-01-03 00:00:00.000 +0100,1.694444444
2006-01-03 01:00:00.000 +0100,1.733333333
2006-01-03 02:00:00.000 +0100,1.666666667
2006-01-03 03:00:00.000 +0100,1.666666667
2006-01-03 04:00:00.000 +0100,1.716666667
2006-01-03 05:00:00.000 +0100,2.2
2006-01-03 06:00:00.000 +0100,2.2
2006-01-03 07:00:00.000 +0100,2.205555556
2006-01-03 08:00:00.000 +0100,2.2
2006-01-03 09:00:00.000 +0100,2.222222222
2006-01-03 10:00:00.000 +0100,2.788888889
2006-01-03 11:00:00.000 +0100,2.777777778
2006-01-03 12:00:00.000 +0100,2.85
2006-01-03 13:00:00.000 +0100,2.9
2006-01-03 14:00:00.000 +0100,2.85
2006-01-03 15:00:00.000 +0100,2.827777778
2006-01-03 16:00:00.000 +0100,2.844444444
2006-01-03 17:00:00.000 +0100,2.777777778
2006-01-03 18:00:00.000 +0100,2.244444444
2006-01-03 19:00:00.000 +0100,2.355555556
2006-01-03 20:00:00.000 +0100,2.244444444
2006-01-03 21:00:00.000 +0100,2.244444444
2006-01-03 22:00:00.000 +0100,2.255555556
2006-01-03 23:00:00.000 +0100,2.2
2006-01-04 00:00:00.000 +0100,2.2
2006-01-04 01:00:00.000 +0100,1.7
2006-01-04 02:00:00.000 +0100,1.716666667
2006-01-04 03:00:00.000 +0100,1.716666667
2006-01-04 04:00:00.000 +0100,1.716666667
2006-01-04 05:00:00.000 +0100,2.2
2006-01-04 06:00:00.000 +0100,2.2
2006-01-04 07:00:00.000 +0100,2.138888889
2006-01-04 08:00:00.000 +0100,2.177777778
2006-01-04 09:00:00.000 +0100,2.2
2006-01-04 10:00:00.000 +0100,2.266666667
2006-01-04 11:00:00.000 +0100,2.25
2006-01-04 12:00:00.000 +0100,2.777777778
2006-01-04 13:00:00.000 +0100,2.283333333
2006-01-04 14:00:00.000 +0100,2.316666667
2006-01-04 15:00:00.000 +0100,2.8
2006-01-04 16:00:00.000 +0100,2.811111111
2006-01-04 17:00:00.000 +0100,2.755555556
2006-01-04 18:00:00.000 +0100,2.755555556
2006-01-04 19:00:00.000 +0100,2.738888889
2006-01-04 20:00:00.000 +0100,2.733333333
2006-01-04 21:00:00.000 +0100,2.222222222
2006-01-04 22:00:00.000 +0100,2.233333333
2006-01-04 23:00:00.000 +0100,1.666666667
2006-01-05 00:00:00.000 +0100,1.666666667
2006-01-05 01:00:00.000 +0100,2.633333333
2006-01-05 02:00:00.000 +0100,1.688888889
2006-01-05 03:00:00.000 +0100,1.161111111
2006-01-05 04:00:00.000 +0100,1.216666667
2006-01-05 05:00:00.000 +0100,1.161111111
2006-01-05 06:00:00.000 +0100,1.161111111
2006-01-05 07:00:00.000 +0100,2.138888889
2006-01-05 08:00:00.000 +0100,2.177777778
2006-01-05 09:00:00.000 +0100,2.222222222
2006-01-05 10:00:00.000 +0100,2.694444444
2006-01-05 11:00:00.000 +0100,2.755555556
2006-01-05 12:00:00.000 +0100,3.844444444
2006-01-05 13:00:00.000 +0100,3.833333333
2006-01-05 14:00:00.000 +0100,3.866666667
2006-01-05 15:00:00.000 +0100,3.866666667
2006-01-05 16:00:00.000 +0100,3.883333333
2006-01-05 17:00:00.000 +0100,3.866666667
2006-01-05 18:00:00.000 +0100,3.938888889
2006-01-05 19:00:00.000 +0100,3.838888889
2006-01-05 20:00:00.000 +0100,2.827777778
2006-01-05 21:00:00.000 +0100,3.288888889
2006-01-05 22:00:00.000 +0100,2.727777778
2006-01-05 23:00:00.000 +0100,2.294444444
2006-01-06 00:00:00.000 +0100,1.805555556
2006-01-06 01:00:00.000 +0100,2.272222222
2006-01-06 02:00:00.000 +0100,2.827777778
2006-01-06 03:00:00.000 +0100,2.827777778
